Type,Title,Address1,City,State,Zip,Latitude,Longitude,PrimaryPhone,BuildingType
Building,Alaska Regional Hospital,2801 DeBarr Road,Anchorage,AK,99508,61.2098054,-149.8292001,(907) 276-1131,[Hospital]
Building,Angel Medical Center,120 Riverview Street,Franklin,NC,28734,35.184467,-83.379413,(828) 524-8411,[Hospital]
Building,Aventura Hospital and Medical Center,20900 Biscayne Blvd,Aventura,FL,33180,25.96994,-80.14533,(305) 682-7000,[Hospital]
Building,Bayview Behavioral Hospital,6629 Wooldridge Road,Corpus Christi,TX,78414,27.6816095,-97.3598424,(361) 986-8200,[Hospital]
Building,Belton Regional Medical Center,17065 S. 71 Highway,Belton,MO,64012,38.815236,-94.502538,(816) 348-1200,"[ER, Hospital]"
Building,Blake Medical Center,2020 59th St West,Bradenton,FL,34209,27.48233,-82.6236295,(941) 792-6611,[Hospital]
Building,Blue Ridge Regional Hospital,125 Hospital Drive,Spruce Pine,NC,28777,35.910967,-82.063088,(828) 765-4201,[Hospital]
Building,Brandon Regional Hospital,119 Oakfield Dr,Brandon,FL,33511,27.932589,-82.28759,(813) 681-5551,[Hospital]
Building,Brigham City Community Hospital,950 S. Medical Dr.,Brigham City,UT,84302,41.4910974,-112.0256159,(435) 734-9471,[Hospital]
Building,Cache Valley Hospital,2380 North 400 East,North Logan,UT,84341,41.7757651,-111.821316,(435) 713-9700,[Hospital]
Building,Capital Regional Medical Center,2626 Capital Medical Blvd,Tallahassee,FL,32308,30.475977,-84.231864,(850) 325-5000,[Hospital]
Building,CarePartners Rehabilitation Hospital,68 Sweeten Creek Rd.,Ashville,NC,28803,35.5616311,-82.53188639999996,(828) 277-4800,[Hospital]
Building,Cartersville Medical Center,960 Joe Frank Harris Parkway,Cartersville,GA,30120,34.199897,-84.793783,(770) 382-1530,[ER]
Building,Centerpoint Medical Center,19600 East 39th Street,Independence,MO,64057,39.0494374,-94.3488139,(816) 698-7000,"[ER, Hospital]"
Building,Central Florida Regional Hospital,1401 West Seminole Blvd,Sanford,FL,32771,28.8146209,-81.2836352,(407) 321-4500,[Hospital]
Building,Chippenham Hospital,7101 Jahnke Rd,Richmond,VA,23225,37.515683,-77.526097,(804) 320-3911,[Hospital]
Building,Citrus Memorial Hospital,502 W. Highland Blvd,Inverness,FL,34452,28.833633,-82.335609,(352) 726-1551,[Hospital]
Building,Coliseum Medical Centers,350 Hospital Dr,Macon,GA,31217,32.8472566,-83.61792939999998,(478) 765-7000,[Hospital]
Building,Coliseum Northside Hospital,400 Charter Blvd,Macon,GA,31210,32.8715199,-83.69453169999997,,[Hospital]
Building,Colleton Medical Center,501 Robertson Blvd,Walterboro,SC,29488,32.923153,-80.6698399,(843) 782-2000,[Hospital]
Building,Corpus Christi Medical Center - Bay Area,7101 S. Padre Island Dr,Corpus Christi,TX,78412,27.693184,-97.34514,(361) 761-1000,"[ER, Hospital]"
Building,Corpus Christi Medical Center - Doctors Regional,3315 S. Alameda St,Corpus Christi,TX,78411,27.752965,-97.388635,(361) 761-1000,"[ER, Hospital]"
Building,Corpus Christi Medical Center - Northwest Regional,13725 Northwest Blvd,Corpus Christi,TX,78410,27.855245,-97.636163,(361) 761-1000,[ER]
Building,Corpus Christi Medical Center - The Heart Hospital,7002 Williams Dr,Corpus Christi,TX,78412,27.692915,-97.345644,(361) 761-1000,[Hospital]
Building,Del Sol Medical Center,10301 Gateway Blvd W,El Paso,TX,79925,31.7567818,-106.35039799999998,(915) 595-9000,[Hospital]
Building,Doctors Hospital of Augusta,3651 Wheeler Rd,Augusta,GA,30909,33.4829589,-82.0901977,(706) 651-3232,[Hospital]
Building,Doctors Hospital of Sarasota,5731 Bee Ridge Rd,Sarasota,FL,34233,27.301873,-82.454281,(941) 342-1100,[Hospital]
Building,Dominion Hospital,2960 Sleepy Hollow Rd,Falls Church,VA,22044,38.870074,-77.1583743,(703) 538-2872,[Hospital]
Building,Eastern Idaho Regional Medical Center,3100 Channing Way,Idaho Falls,ID,83404,43.4701735,-111.9914279,(208) 529-6111,[Hospital]
Building,Eastside Medical Center,1700 Medical Way,Snellville,GA,30078,33.8775974,-84.0222429,(770) 979-0200,[ER]
Building,Englewood Community Hospital,700 Medical Blvd,Englewood,FL,34223,26.949964,-82.326506,(941) 475-6571,[Hospital]
Building,Fairview Park Hospital,200 Industrial Boulevard,Dublin,GA,31021,32.5402485,-82.957456,(478) 275-2000,[Hospital]
Building,Fawcett Memorial Hospital,21298 Olean Blvd,Port Charlotte,FL,33952,26.9886299,-82.0983963,(941) 629-1181,[Hospital]
Building,Fort Walton Beach Medical Center,1000 Mar Walt Dr,Ft Walton Beach,FL,32547,30.454478,-86.633621,(850) 862-1111,[Hospital]
Building,Frankfort Regional Medical Center,299 Kings Daughters Dr,Frankfort,KY,40601,38.1601975,-84.9051892,(502) 875-5240,[Hospital]
Building,Frisbie Memorial Hospital,11 Whitehall Road,Rochester,NH,03867,43.29793840000001,-70.9607815,(603) 332-5211,[Hospital]
Building,Good Samaritan Hospital,2425 Samaritan Dr,San Jose,CA,95124,37.2520715,-121.9463305,(408) 559-2011,[Hospital]
Building,Grand Strand Medical Center,809 82nd Parkway,Myrtle Beach,SC,29572,33.7585214,-78.8201676,(843) 692-1000,[Hospital]
Building,Gulf Coast Regional Medical Center,449 W 23rd St,Panama City,FL,32405,30.186569,-85.665132,(850) 769-8341,[Hospital]
Building,HCA Houston Healthcare Clear Lake,500 Medical Center Blvd,Webster,TX,77598,29.54145,-95.12768,(281) 332-2511,"[ER, Hospital]"
Building,HCA Houston Healthcare Conroe,504 Medical Center Blvd,Conroe,TX,77304,30.2849592,-95.4672245,(936) 539-1111,"[ER, Hospital]"
Building,HCA Houston Healthcare Kingwood,22999 US Hwy 59 N,Kingwood,TX,77339,30.0499551,-95.254548,(281) 348-8000,"[ER, Hospital]"
Building,HCA Houston Healthcare Mainland,6801 Emmett F. Lowry Expressway,Texas City,TX,77591,29.3937789,-94.9868214,(409) 938-5000,"[ER, Hospital]"
Building,HCA Houston Healthcare Medical Center,1313 Hermann Dr,Houston,TX,77004,29.72272,-95.3875429,(713) 527-5000,[Hospital]
Building,HCA Houston Healthcare North Cypress,21214 NW Freeway,Cypress,TX,77429,29.9257621,-95.63150180000002,(832) 912-3500,[Hospital]
Building,HCA Houston Healthcare Northwest,710 Cypress Creek Parkway,Houston,TX,77090,30.0205897,-95.442608,(281) 440-1000,[Hospital]
Building,HCA Houston Healthcare Pearland,11100 Shadow Creek Pkwy,Pearland,TX,77584,29.5772374,-95.3888285,(713) 770-7000,"[ER, Hospital]"
Building,HCA Houston Healthcare Southeast,4000 Spencer Highway,Pasadena,TX,77504,29.6612101,-95.183799,(713) 359-2000,"[ER, Hospital]"
Building,HCA Houston Healthcare Tomball,605 Holderrieth Blvd,Tomball,TX,77375,30.0874052,-95.6236163,(281) 401-7500,[Hospital]
Building,HCA Houston Healthcare West,12141 Richmond Avenue,Houston,TX,77082,29.729133,-95.59429,(281) 558-3444,"[ER, Hospital]"
Building,Heart Hospital of Austin,3801 N Lamar Blvd,Austin,TX,78756,30.3058458,-97.7411572,(512) 407-7000,[Hospital]
